Tiempo_Busqueda,Ingreso_No_Laboral,Ocupados,Sexo_1,Edad_2,Edad_3,Edad_4,Nivel_Educativo_2.0,Nivel_Educativo_3.0,Nivel_Educativo_4.0,Jefe_Hogar_1,Estado_Civil_2.0,Estado_Civil_3.0,Estado_Civil_4.0,Estado_Civil_5.0,Estado_Civil_6.0,Estrato_2,Estrato_3,Canal_Busqueda_2.0,Canal_Busqueda_3.0
5.0,2.0,1,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
2.0,1.0,1,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False
14.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
3.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
52.0,2.0,1,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
12.0,2.0,1,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
66.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
28.0,2.0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
52.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
36.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
144.0,2.0,1,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
8.0,1.0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
4.0,1.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
16.0,2.0,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
43.0,2.0,1,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False
52.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
25.0,2.0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
245.0,2.0,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
40.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
12.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
35.0,2.0,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
60.0,2.0,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
4.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
8.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
8.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
12.0,2.0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
68.0,2.0,1,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False
52.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
8.0,2.0,1,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
3.0,2.0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
44.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2.0,2.0,1,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
2.0,2.0,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
72.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
30.0,2.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
20.0,1.0,1,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False
52.0,2.0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
6.0,2.0,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
24.0,2.0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
20.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
18.0,2.0,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
20.0,1.0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
12.0,2.0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
3.0,2.0,1,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
4.0,2.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
144.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
156.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
30.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True
40.0,2.0,1,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
24.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
3.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
9.0,2.0,1,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
5.0,2.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
60.0,2.0,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
52.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
5.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
4.0,2.0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
52.0,2.0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
104.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
52.0,1.0,1,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
104.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
40.0,2.0,1,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False
96.0,2.0,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
8.0,2.0,1,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False
4.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
8.0,2.0,1,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
8.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
240.0,2.0,1,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
16.0,2.0,1,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
20.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
12.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
7.0,1.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
52.0,2.0,1,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
36.0,2.0,1,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
6.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
18.0,2.0,1,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
8.0,2.0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
12.0,2.0,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
40.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
24.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
4.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
4.0,2.0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
52.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12.0,2.0,1,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False
74.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
2.0,2.0,1,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
28.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
208.0,2.0,1,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
2.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
12.0,2.0,1,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
12.0,1.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2.0,1.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
24.0,2.0,1,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
2.0,2.0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8.0,2.0,1,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
12.0,2.0,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
36.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
56.0,2.0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
5.0,2.0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
4.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
144.0,2.0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
15.0,1.0,1,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
52.0,2.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56.0,2.0,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
16.0,2.0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
6.0,2.0,1,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
8.0,1.0,1,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
12.0,2.0,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
8.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
8.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
20.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
52.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
32.0,2.0,1,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False
10.0,1.0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
4.0,1.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1.0,2.0,1,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
3.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40.0,2.0,1,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
24.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
52.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
8.0,2.0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
104.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
6.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
12.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
5.0,2.0,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
8.0,2.0,1,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
50.0,2.0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
32.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
36.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
40.0,2.0,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
6.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
104.0,2.0,1,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
3.0,2.0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
1.0,2.0,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
53.0,2.0,1,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
12.0,2.0,1,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
1.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
12.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6.0,2.0,1,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
48.0,2.0,1,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False
7.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
12.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
12.0,2.0,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
24.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
16.0,2.0,1,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False
16.0,2.0,1,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
12.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
2.0,2.0,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
12.0,1.0,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
16.0,2.0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
35.0,2.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2.0,2.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
16.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
8.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
52.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
42.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
18.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
12.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
52.0,2.0,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2.0,1.0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
6.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
24.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
15.0,2.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
20.0,2.0,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
42.0,2.0,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
104.0,2.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
200.0,2.0,1,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,2.0,1,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True
4.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
21.0,2.0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
20.0,2.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
8.0,2.0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
48.0,2.0,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
70.0,2.0,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
104.0,2.0,1,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True
8.0,2.0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
4.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
48.0,2.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
156.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8.0,2.0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
20.0,2.0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
54.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
4.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
12.0,2.0,1,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False
36.0,2.0,1,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
20.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
56.0,2.0,1,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
20.0,2.0,1,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
10.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
32.0,2.0,1,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
36.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
8.0,2.0,1,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
4.0,1.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
150.0,2.0,1,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
14.0,2.0,1,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
8.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
104.0,2.0,1,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
20.0,2.0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
52.0,2.0,1,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
24.0,2.0,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
60.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
48.0,2.0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
208.0,2.0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
4.0,2.0,1,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False
8.0,2.0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
58.0,2.0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
4.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8.0,2.0,1,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
24.0,2.0,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
20.0,1.0,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1.0,2.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
5.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
24.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
4.0,2.0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
52.0,2.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
36.0,2.0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
150.0,2.0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
52.0,2.0,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
48.0,1.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1.0,2.0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
24.0,2.0,1,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
20.0,1.0,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
20.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12.0,2.0,1,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
6.0,2.0,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
48.0,2.0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
14.0,2.0,1,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
4.0,1.0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
16.0,2.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.0,2.0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
24.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
24.0,2.0,1,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
17.0,1.0,1,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
20.0,1.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
16.0,2.0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
104.0,2.0,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8.0,2.0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
